Рыбы
Австралийский лосось 
Азиатская корюшка 
Азиатский стрелозубый палтус 
Азовский пузанок 
Альбула 
Американская щука (Красноперая щука) 
Американский чешуйчатник 
Амурская щука 
Амурский осетр 
Амурский сиг 
Амурский сом 
Амурский чебачок 
Антарктическая серебрянка 
Антарктический клыкач 
Арапаима 
Аргентинская мерлуза 
Арктический голец 
Атлантическая пеламида (Атлантический бонито) 
Атлантическая сельдь 
Атлантическая скумбрия 
Атлантическая ставрида 
Атлантическая треска 
Атлантический белокорый палтус 
Атлантический голубой марлин 
Атлантический лосось (Сёмга) 
Атлантический осетр 
Ауха (Китайский окунь) 
Африканский клариевый сом 
Б
Байкальский омуль 
Байкальский осетр 
Балтийская камбала 
Балтийская килька (Балтийский шпрот) 
Барабулька (Обыкновенная султанка) 
Баррамунди 
Беломорская сельдь (Беломорка) 
Белорыбица 
Белуга 
Белый амур 
Белый байкальский хариус 
Белый осетр 
Белый толстолобик 
Берш (Волжский судак) 
Бестер 
Большая барракуда 
Большая голомянка (Байкальская) 
Большая корифена 
Большая тигровая рыба (Голиаф) 
Большеголовая молот-рыба 
Большеротый буффало 
Большеротый окунь (Басс) 
Бородовчатка (Рыба-камень) 
Бурый скалозуб 
Быстрянка 
Бычок-бубырь 
Бычок-кругляк 
Бычок-песочник (Речной бычок) 
Бычок-цуцик 
В
Ваху 
Верховка 
Веслонос 
Вобла 
Волжская сельдь 
Волховский сиг 
Вомер (Селена) 
Вырезуб 
Г
Гигантская акула-молот 
Голавль 
Голец Таранца 
Горбуша 
Горчак 
Гунч (Сом Багарий) 
Густера 
Д
Дальневосточная зубатка 
Длинноперый тунец 
Длиннорогий саблезуб 
Днепровский усач 
Дорадо (Золотистый спар) 
Дунайский лосось 
Е
Европейская бельдюга 
Европейская корюшка 
Европейская мерлуза 
Европейская ряпушка 
Европейская сардина 
Европейская химера 
Европейский анчоус (Хамса) 
Европейский звездочет (Морская коровка) 
Европейский удильщик 
Европейский хариус 
Европейский шпрот 
Елец 
Ёрш обыкновенный 
Ёрш-носарь (Бирюк, Донской ёрш) 
Ершоватка (Лиманда) 
Ж
Желтобрюхая камбала 
Желтоперая камбала 
Желтоперый тунец 
Желтополосая сардинелла 
Желтополосый селар (Желтый полосатик) 
Желтощек 
Желтый окунь 
Жерех 
З
Звездчатая камбала 
Зеленушка 
Зеркальный карп 
Змееголов 
Золотой карась 
Зубастый терпуг 
И
Иваси (Дальневосточная сардина) 
Ильная рыба 
Императорский ангел 
К
Калуга 
Камбала-ёрш 
Каменный окунь (Индоокеанский малоглазый групер) 
Канальный сомик 
Каспийский лосось 
Катран 
Кейпкодский карась (Овцеголов, Каторжник) 
Кета 
Кижуч 
Китайский осетр 
Клюворылый морской окунь 
Кобия 
Конь-губарь 
Корейский осетр 
Королевская макрель 
Косатка-скрипун 
Красноперка 
Красноперый опах 
Красный морской окунь 
Красный нитепёрый снеппер 
Крылатка-зебра 
Кумжа 
Кунджа 
Кутум 
Л
Лакедра (Желтохвост) 
Лапша-рыба (Саланкс) 
Ледяная рыба 
Лемонема 
Ленок 
Лещ 
Линь 
Лобан 
Луфарь 
М
Макрелевый тунец 
Малоглазый макрурус 
Малоротая макропинна (Бочкоглаз) 
Мальма 
Манта (Морской дьявол) 
Маринка 
Меланоцет Джонсона (Черный удильщик) 
Менёк (Морской налим, Мень) 
Мерланг 
Меч-рыба 
Минтай 
Миссисипский панцирник 
Мойва 
Молочная рыба (Ханос) 
Мольва 
Морская камбала 
